INVENTORY_YEAR,INVENTORY_MONTH,PRODUCT_NUMBER,INVENTORY_COUNT
2021,9,66,948,
2021,9,67,1492,
2021,9,68,1836,
2021,9,69,1141,
2021,9,70,1251,
2021,9,71,1135,
2021,9,72,1531,
2021,9,73,2646,
2021,9,74,3278,
2021,9,75,2776,
2021,9,76,3570,
2021,9,77,2820,
2021,9,78,1225,
2021,9,79,845,
2021,9,80,1199,
2021,9,81,823,
2021,9,82,3233,
2021,9,83,2740,
2021,9,84,1211,
2021,9,85,1866,
2021,9,86,15840,
2021,9,87,21035,
2021,9,88,16672,
2021,9,89,16710,
2021,9,90,23920,
2021,9,91,10850,
2021,9,92,5337,
2021,9,93,16030,
2021,9,94,21528,
2021,9,95,19716,
2021,9,96,2440,
2021,9,97,1593,
2021,9,98,7799,
2021,9,99,5585,
2021,9,100,6928,
2021,9,101,1215,
2021,9,102,892,
2021,9,103,572,
2021,9,104,635,
2021,9,105,973,
2021,9,106,759,
2021,9,107,647,
2021,9,108,700,
2021,9,109,2421,
2021,9,110,895,
2021,9,111,644,
2021,9,112,1552,
2021,9,113,5473,
2021,9,114,546,
2021,9,115,4440,
2021,10,1,4937,
2021,10,2,6812,
2021,10,3,4416,
2021,10,4,6244,
2021,10,5,1882,
2021,10,6,1142,
2021,10,7,3191,
2021,10,8,2427,
2021,10,9,2493,
2021,10,10,3744,
2021,10,11,730,
2021,10,12,1204,
2021,10,13,1338,
2021,10,14,2732,
2021,10,15,720,
2021,10,16,27282,
2021,10,17,3554,
2021,10,18,2738,
2021,10,19,2931,
2021,10,20,2399,
2021,10,21,3593,
2021,10,22,735,
2021,10,23,963,
2021,10,24,1746,
2021,10,25,2661,
2021,10,26,1938,
2021,10,27,2320,
2021,10,28,1857,
2021,10,29,4398,
2021,10,30,2702,
2021,10,31,4928,
2021,10,32,11443,
2021,10,33,7481,
2021,10,34,11312,
2021,10,35,8279,
2021,10,36,10319,
2021,10,37,4173,
2021,10,38,2149,
2021,10,39,5332,
2021,10,40,10796,
2021,10,41,2965,
2021,10,42,3109,
2021,10,43,5879,
2021,10,44,4744,
2021,10,45,1740,
2021,10,46,2146,
2021,10,47,6011,
2021,10,48,1960,
2021,10,49,1206,
2021,10,50,26861,
2021,10,51,9596,
2021,10,52,5320,
2021,10,53,6872,
2021,10,54,7305,
2021,10,55,4762,
2021,10,56,11094,
2021,10,57,1299,
2021,10,58,1885,
2021,10,59,841,
2021,10,60,10455,
2021,10,61,7661,
2021,10,62,2776,
2021,10,63,2185,
2021,10,64,3971,
2021,10,65,2398,
2021,10,66,744,
2021,10,67,560,
2021,10,68,1472,
2021,10,69,1035,
2021,10,70,1089,
2021,10,71,1147,
2021,10,72,1211,
2021,10,73,1694,
2021,10,74,1784,
2021,10,75,2130,
2021,10,76,3362,
2021,10,77,2230,
2021,10,78,511,
2021,10,79,381,
2021,10,80,941,
2021,10,81,555,
2021,10,82,2395,
2021,10,83,2022,
2021,10,84,759,
2021,10,85,1384,
2021,10,86,12006,
2021,10,87,20079,
2021,10,88,15920,
2021,10,89,15900,
2021,10,90,22594,
2021,10,91,10556,
2021,10,92,5165,
2021,10,93,15602,
2021,10,94,20258,
2021,10,95,18032,
2021,10,96,2382,
2021,10,97,1529,
2021,10,98,7747,
2021,10,99,5343,
2021,10,100,5728,
2021,10,101,993,
2021,10,102,774,
2021,10,103,404,
2021,10,104,559,
2021,10,105,793,
2021,10,106,621,
2021,10,107,527,
2021,10,108,600,
2021,10,109,1701,
2021,10,110,945,
2021,10,111,628,
2021,10,112,308,
2021,10,113,4417,
2021,10,114,384,
2021,10,115,3062,
2021,11,1,6935,
2021,11,2,5114,
2021,11,3,3862,
2021,11,4,5336,
2021,11,5,1528,
2021,11,6,1042,
2021,11,7,3015,
2021,11,8,2157,
2021,11,9,2179,
2021,11,10,3268,
2021,11,11,784,
2021,11,12,1222,
2021,11,13,1790,
2021,11,14,2872,
2021,11,15,960,
2021,11,16,26424,
2021,11,17,3854,
2021,11,18,2986,
2021,11,19,3557,
2021,11,20,2237,
2021,11,21,3171,
2021,11,22,675,
2021,11,23,853,
2021,11,24,2300,
2021,11,25,3031,
2021,11,26,2202,
2021,11,27,2584,
2021,11,28,2321,
2021,11,29,4038,
2021,11,30,2530,
2021,11,31,4608,
2021,11,32,9781,
2021,11,33,14309,
2021,11,34,10490,
2021,11,35,7441,
2021,11,36,9861,
2021,11,37,4053,
2021,11,38,2067,
2021,11,39,4974,
2021,11,40,9262,
2021,11,41,2673,
2021,11,42,3263,
2021,11,43,6177,
2021,11,44,5092,
2021,11,45,1920,
2021,11,46,2348,
2021,11,47,6501,
2021,11,48,2032,
2021,11,49,1120,
2021,11,50,26315,
2021,11,51,10322,
2021,11,52,5470,
2021,11,53,7134,
2021,11,54,7777,
2021,11,55,5600,
2021,11,56,10918,
2021,11,57,1785,
2021,11,58,2363,
2021,11,59,1137,
2021,11,60,9925,
2021,11,61,8369,
2021,11,62,3442,
2021,11,63,2657,
2021,11,64,4763,
2021,11,65,2740,
2021,11,66,860,
2021,11,67,776,
2021,11,68,1988,
2021,11,69,1131,
2021,11,70,1263,
2021,11,71,1447,
2021,11,72,1483,
2021,11,73,2564,
2021,11,74,2434,
2021,11,75,2834,
2021,11,76,4868,
2021,11,77,2724,
2021,11,78,733,
2021,11,79,401,
2021,11,80,1261,
2021,11,81,753,
2021,11,82,2709,
2021,11,83,2278,
2021,11,84,951,
2021,11,85,1642,
2021,11,86,11576,
2021,11,87,19731,
2021,11,88,15738,
2021,11,89,15686,
2021,11,90,22238,
2021,11,91,10372,
2021,11,92,5095,
2021,11,93,15378,
2021,11,94,20064,
2021,11,95,17698,
2021,11,96,2332,
2021,11,97,1457,
2021,11,98,7677,
2021,11,99,5171,
2021,11,100,5498,
2021,11,101,1075,
2021,11,102,850,
2021,11,103,382,
2021,11,104,511,
2021,11,105,891,
2021,11,106,711,
2021,11,107,453,
2021,11,108,550,
2021,11,109,1429,
2021,11,110,751,
2021,11,111,540,
2021,11,112,7150,
2021,11,113,4141,
2021,11,114,290,
2021,11,115,2726,
2021,12,1,6729,
2021,12,2,4528,
2021,12,3,5082,
2021,12,4,9796,
2021,12,5,2542,
2021,12,6,982,
2021,12,7,2805,
2021,12,8,1945,
2021,12,9,2117,
2021,12,10,2974,
2021,12,11,766,
2021,12,12,1382,
2021,12,13,1810,
2021,12,14,2744,
2021,12,15,1108,
2021,12,16,24900,
2021,12,17,3870,
2021,12,18,3246,
2021,12,19,3857,
2021,12,20,1839,
2021,12,21,3019,
2021,12,22,613,
2021,12,23,745,
2021,12,24,2852,
2021,12,25,3503,
2021,12,26,2428,
2021,12,27,2550,
2021,12,28,2929,
2021,12,29,6398,
2021,12,30,4156,
2021,12,31,7324,
2021,12,32,14235,
2021,12,33,13923,
2021,12,34,16676,
2021,12,35,10679,
2021,12,36,9621,
2021,12,37,3703,
2021,12,38,1809,
2021,12,39,4748,
2021,12,40,8384,
2021,12,41,2457,
2021,12,42,3425,
2021,12,43,6357,
2021,12,44,5404,
2021,12,45,2080,
2021,12,46,2494,
2021,12,47,6631,
2021,12,48,2174,
2021,12,49,1664,
2021,12,50,34051,
2021,12,51,10868,
2021,12,52,5646,
2021,12,53,7378,
2021,12,54,8337,
2021,12,55,6390,
2021,12,56,10332,
2021,12,57,2251,
2021,12,58,2717,
2021,12,59,1343,
2021,12,60,11749,
2021,12,61,8829,
2021,12,62,4202,
2021,12,63,3049,
2021,12,64,6003,
2021,12,65,2948,
2021,12,66,932,
2021,12,67,1124,
2021,12,68,2218,
2021,12,69,1267,
2021,12,70,1451,
2021,12,71,1765,
2021,12,72,1771,
2021,12,73,3542,
2021,12,74,3292,
2021,12,75,3586,
2021,12,76,6540,
2021,12,77,3072,
2021,12,78,889,
2021,12,79,547,
2021,12,80,1327,
2021,12,81,939,
2021,12,82,3069,
2021,12,83,2362,
2021,12,84,1195,
2021,12,85,1624,
2021,12,86,11284,
2021,12,87,19731,
2021,12,88,15362,
2021,12,89,15364,
2021,12,90,21124,
2021,12,91,10098,
2021,12,92,4967,
2021,12,93,14606,
2021,12,94,19716,
2021,12,95,17402,
2021,12,96,2312,
2021,12,97,1421,
2021,12,98,7605,
2021,12,99,5043,
2021,12,100,5078,
2021,12,101,1221,
2021,12,102,1010,
2021,12,103,350,
2021,12,104,497,
2021,12,105,957,
2021,12,106,887,
2021,12,107,409,
2021,12,108,500,
2021,12,109,1161,
2021,12,110,1343,
2021,12,111,736,
2021,12,112,6764,
2021,12,113,3839,
2021,12,114,246,
2021,12,115,2462,
2022,1,1,6985,
2022,1,2,7862,
2022,1,3,4628,
2022,1,4,9386,
2022,1,5,2232,
2022,1,6,904,
2022,1,7,2627,
2022,1,8,1383,
2022,1,9,1885,
2022,1,10,6984,
2022,1,11,820,
2022,1,12,2108,
2022,1,13,1396,
2022,1,14,3110,
2022,1,15,1376,
2022,1,16,23060,
2022,1,17,4026,
2022,1,18,3392,
2022,1,19,4149,
2022,1,20,1473,
2022,1,21,2785,
2022,1,22,1507,
2022,1,23,1295,
2022,1,24,3460,
2022,1,25,3765,
2022,1,26,2778,
2022,1,27,2476,
2022,1,28,3265,
2022,1,29,6058,
2022,1,30,3836,
2022,1,31,6564,
2022,1,32,13275,
2022,1,33,12229,
2022,1,34,16302,
2022,1,35,9797,
2022,1,36,13055,
2022,1,37,5223,
2022,1,38,2865,
2022,1,39,6530,
2022,1,40,7228,
2022,1,41,5855,
2022,1,42,3669,
2022,1,43,6835,
2022,1,44,5636,
2022,1,45,2246,
2022,1,46,2716,
2022,1,47,7031,
2022,1,48,2336,
2022,1,49,1618,
2022,1,50,33327,
2022,1,51,11206,
2022,1,52,5970,
2022,1,53,7994,
2022,1,54,9329,
2022,1,55,7528,
2022,1,56,10000,
2022,1,57,2759,
2022,1,58,3067,
2022,1,59,1665,
2022,1,60,11647,
2022,1,61,9437,
2022,1,62,4664,
2022,1,63,3379,
2022,1,64,7267,
2022,1,65,3348,
2022,1,66,1094,
2022,1,67,1666,
2022,1,68,2308,
2022,1,69,1435,
2022,1,70,1699,
2022,1,71,1993,
2022,1,72,1891,
2022,1,73,4308,
2022,1,74,5180,
2022,1,75,3744,
2022,1,76,7014,
2022,1,77,3638,
2022,1,78,875,
2022,1,79,495,
2022,1,80,1639,
2022,1,81,1113,
2022,1,82,3267,
2022,1,83,2624,
2022,1,84,1255,
2022,1,85,1830,
2022,1,86,13722,
2022,1,87,20903,
2022,1,88,17910,
2022,1,89,15920,
2022,1,90,25500,
2022,1,91,12832,
2022,1,92,5581,
2022,1,93,17836,
2022,1,94,22164,
2022,1,95,16906,
2022,1,96,2210,
2022,1,97,1651,
2022,1,98,8255,
2022,1,99,6335,
2022,1,100,4824,
2022,1,101,1453,
2022,1,102,1152,
2022,1,103,302,
2022,1,104,445,
2022,1,105,1073,
2022,1,106,901,
2022,1,107,387,
2022,1,108,490,
2022,1,109,945,
2022,1,110,1171,
2022,1,111,698,
2022,1,112,6544,
2022,1,113,9053,
2022,1,114,1022,
2022,1,115,2296,
2022,2,1,6915,
2022,2,2,7272,
2022,2,3,6272,
2022,2,4,8724,
2022,2,5,2026,
2022,2,6,1686,
2022,2,7,2129,
2022,2,8,4731,
2022,2,9,1521,
2022,2,10,6516,
2022,2,11,1080,
2022,2,12,2028,
2022,2,13,1534,
2022,2,14,3422,
2022,2,15,1670,
2022,2,16,22488,
2022,2,17,4566,
2022,2,18,3798,
2022,2,19,4599,
2022,2,20,3721,
2022,2,21,5951,
2022,2,22,1471,
2022,2,23,1253,
2022,2,24,4106,
2022,2,25,4237,
2022,2,26,3162,
2022,2,27,2678,
2022,2,28,3943,
2022,2,29,5812,
2022,2,30,3594,
2022,2,31,6410,
2022,2,32,12457,
2022,2,33,19215,
2022,2,34,15566,
2022,2,35,9551,
2022,2,36,12559,
2022,2,37,5165,
2022,2,38,2435,
2022,2,39,6202,
2022,2,40,12810,
2022,2,41,5639,
2022,2,42,3737,
2022,2,43,7453,
2022,2,44,6110,
2022,2,45,2400,
2022,2,46,2892,
2022,2,47,7487,
2022,2,48,2460,
2022,2,49,1596,
2022,2,50,33013,
2022,2,51,11912,
2022,2,52,6278,
2022,2,53,8432,
2022,2,54,10351,
2022,2,55,8450,
2022,2,56,9916,
2022,2,57,3267,
2022,2,58,3569,
2022,2,59,1965,
2022,2,60,11139,
2022,2,61,10239,
2022,2,62,6098,
2022,2,63,3811,
2022,2,64,8579,
2022,2,65,4012,
2022,2,66,1142,
2022,2,67,2066,
2022,2,68,2692,
2022,2,69,1555,
2022,2,70,1887,
2022,2,71,2067,
2022,2,72,2143,
2022,2,73,5188,
2022,2,74,6644,
2022,2,75,4184,
2022,2,76,7666,
2022,2,77,4302,
2022,2,78,1055,
2022,2,79,739,
2022,2,80,1927,
2022,2,81,1407,
2022,2,82,3885,
2022,2,83,2908,
2022,2,84,1527,
2022,2,85,1986,
2022,2,86,13650,
2022,2,87,20717,
2022,2,88,17724,
2022,2,89,15710,
2022,2,90,25384,
2022,2,91,12492,
2022,2,92,5465,
2022,2,93,17560,
2022,2,94,21450,
2022,2,95,16774,
2022,2,96,2210,
2022,2,97,1607,
2022,2,98,8255,
2022,2,99,6247,
2022,2,100,4612,
2022,2,101,1707,
2022,2,102,1312,
2022,2,103,302,
2022,2,104,425,
2022,2,105,1223,
2022,2,106,1033,
2022,2,107,371,
2022,2,108,480,
2022,2,109,6193,
2022,2,110,1883,
2022,2,111,994,
2022,2,112,6388,
2022,2,113,9053,
2022,2,114,1014,
2022,2,115,2158,
2022,3,1,6509,
2022,3,2,6230,
2022,3,3,4990,
2022,3,4,11776,
2022,3,5,2530,
2022,3,6,1506,
2022,3,7,4323,
2022,3,8,4297,
2022,3,9,1099,
2022,3,10,5840,
2022,3,11,1052,
2022,3,12,1426,
2022,3,13,1430,
2022,3,14,3630,
2022,3,15,1338,
2022,3,16,21284,
2022,3,17,4522,
2022,3,18,3700,
2022,3,19,4749,
2022,3,20,3083,
2022,3,21,5557,
2022,3,22,1287,
2022,3,23,1153,
2022,3,24,4364,
2022,3,25,4061,
2022,3,26,3066,
2022,3,27,2684,
2022,3,28,4049,
2022,3,29,7806,
2022,3,30,3300,
2022,3,31,8598,
2022,3,32,18373,
2022,3,33,17785,
2022,3,34,20304,
2022,3,35,11971,
2022,3,36,11421,
2022,3,37,4947,
2022,3,38,1939,
2022,3,39,5048,
2022,3,40,11024,
2022,3,41,5213,
2022,3,42,3713,
2022,3,43,7475,
2022,3,44,5912,
2022,3,45,2392,
2022,3,46,2982,
2022,3,47,7665,
2022,3,48,2432,
2022,3,49,1482,
2022,3,50,40115,
2022,3,51,11702,
2022,3,52,6306,
2022,3,53,7952,
2022,3,54,10803,
2022,3,55,8126,
2022,3,56,9362,
2022,3,57,3189,
2022,3,58,3419,
2022,3,59,1769,
2022,3,60,12879,
2022,3,61,9763,
2022,3,62,6384,
2022,3,63,3951,
