PRODUCT_NUMBER,YEAR,MONTH,EXPECTED_VOLUME
55,2021,3,585
55,2021,4,1217
55,2021,5,886
55,2021,6,1175
55,2021,7,738
55,2021,8,634
55,2021,9,784
55,2021,10,2335
55,2021,11,359
55,2021,12,390
55,2022,1,65
55,2022,2,303
55,2022,3,1432
55,2022,4,1653
55,2022,5,824
55,2022,6,917
55,2022,7,980
55,2022,8,533
55,2022,9,598
55,2022,10,2911
55,2022,11,609
55,2022,12,830
56,2021,1,150
56,2021,2,127
56,2021,3,354
56,2021,4,502
56,2021,5,530
56,2021,6,620
56,2021,7,426
56,2021,8,188
56,2021,9,289
56,2021,10,824
56,2021,11,171
56,2021,12,562
56,2022,1,317
56,2022,2,82
56,2022,3,456
56,2022,4,667
56,2022,5,447
56,2022,6,479
56,2022,7,515
56,2022,8,385
56,2022,9,440
56,2022,10,1074
56,2022,11,35
56,2022,12,355
57,2021,1,149
57,2021,2,116
57,2021,3,277
57,2021,4,436
57,2021,5,356
57,2021,6,341
57,2021,7,348
57,2021,8,217
57,2021,9,502
57,2021,10,726
57,2021,11,110
57,2021,12,120
57,2022,1,100
57,2022,2,91
57,2022,3,494
57,2022,4,830
57,2022,5,202
57,2022,6,597
57,2022,7,323
57,2022,8,248
57,2022,9,253
57,2022,10,765
57,2022,11,86
57,2022,12,182
58,2021,1,138
58,2021,2,252
58,2021,3,384
58,2021,4,577
58,2021,5,293
58,2021,6,456
58,2021,7,297
58,2021,8,248
58,2021,9,434
58,2021,10,1305
58,2021,11,365
58,2021,12,422
58,2022,1,167
58,2022,2,96
58,2022,3,525
58,2022,4,468
58,2022,5,596
58,2022,6,658
58,2022,7,562
58,2022,8,554
58,2022,9,489
58,2022,10,844
58,2022,11,404
58,2022,12,257
59,2021,1,166
59,2021,2,136
59,2021,3,329
59,2021,4,397
59,2021,5,123
59,2021,6,389
59,2021,7,295
59,2021,8,220
59,2021,9,226
59,2021,10,818
59,2021,11,111
59,2021,12,106
59,2022,1,85
59,2022,2,91
59,2022,3,416
59,2022,4,568
59,2022,5,337
59,2022,6,348
59,2022,7,264
59,2022,8,251
59,2022,9,185
59,2022,10,863
59,2022,11,171
59,2022,12,151
60,2021,1,477
60,2021,2,108
60,2021,3,748
60,2021,4,842
60,2021,5,520
60,2021,6,866
60,2021,7,972
60,2021,8,538
60,2021,9,729
60,2021,10,1155
60,2021,11,543
60,2021,12,426
60,2022,1,93
60,2022,2,522
60,2022,3,448
60,2022,4,1612
60,2022,5,592
60,2022,6,997
60,2022,7,861
60,2022,8,600
60,2022,9,490
60,2022,10,1342
60,2022,11,717
60,2022,12,486
61,2021,1,362
61,2021,2,329
61,2021,3,916
61,2021,4,1570
61,2021,5,1059
61,2021,6,1009
61,2021,7,1024
61,2021,8,721
61,2021,9,663
61,2021,10,1412
61,2021,11,510
61,2021,12,697
61,2022,1,632
61,2022,2,397
61,2022,3,1568
61,2022,4,1891
61,2022,5,306
61,2022,6,777
61,2022,7,1156
61,2022,8,761
61,2022,9,833
61,2022,10,3078
61,2022,11,446
61,2022,12,828
62,2021,1,218
62,2021,2,456
62,2021,3,834
62,2021,4,1475
62,2021,5,633
62,2021,6,1451
62,2021,7,1001
62,2021,8,539
62,2021,9,653
62,2021,10,2359
62,2021,11,566
62,2021,12,765
62,2022,1,945
62,2022,2,45
62,2022,3,1010
62,2022,4,1820
62,2022,5,802
62,2022,6,1731
62,2022,7,555
62,2022,8,392
62,2022,9,668
62,2022,10,2592
62,2022,11,642
62,2022,12,903
63,2020,1,166
63,2020,2,131
63,2020,3,118
63,2020,4,613
63,2020,5,343
63,2020,6,480
63,2020,7,754
63,2020,8,111
63,2020,9,518
63,2020,10,954
63,2020,11,101
63,2020,12,130
63,2021,1,313
63,2021,2,130
63,2021,3,442
63,2021,4,717
63,2021,5,338
63,2021,6,605
63,2021,7,716
63,2021,8,330
63,2021,9,493
63,2021,10,912
63,2021,11,159
63,2021,12,182
63,2022,1,293
63,2022,2,163
63,2022,3,362
63,2022,4,957
63,2022,5,253
63,2022,6,937
63,2022,7,641
63,2022,8,606
63,2022,9,902
63,2022,10,1045
63,2022,11,106
63,2022,12,286
64,2020,1,391
64,2020,2,183
64,2020,3,591
64,2020,4,646
64,2020,5,511
64,2020,6,653
64,2020,7,783
64,2020,8,798
64,2020,9,1226
64,2020,10,2189
64,2020,11,403
64,2020,12,632
64,2021,1,812
64,2021,2,337
64,2021,3,921
64,2021,4,1139
64,2021,5,1015
64,2021,6,1278
64,2021,7,1115
64,2021,8,1137
64,2021,9,1489
64,2021,10,2828
64,2021,11,848
64,2021,12,264
64,2022,1,246
64,2022,2,195
64,2022,3,1815
64,2022,4,2630
64,2022,5,430
64,2022,6,1383
64,2022,7,1917
64,2022,8,812
64,2022,9,1271
64,2022,10,3280
64,2022,11,450
64,2022,12,853
65,2020,1,227
65,2020,2,254
65,2020,3,286
65,2020,4,289
65,2020,5,352
65,2020,6,340
65,2020,7,598
65,2020,8,197
65,2020,9,641
65,2020,10,1555
65,2020,11,292
65,2020,12,261
65,2021,1,625
65,2021,2,211
65,2021,3,368
65,2021,4,1252
65,2021,5,168
65,2021,6,680
65,2021,7,570
65,2021,8,259
65,2021,9,1100
65,2021,10,1515
65,2021,11,418
65,2021,12,513
65,2022,1,382
65,2022,2,101
65,2022,3,860
65,2022,4,1350
65,2022,5,618
65,2022,6,806
65,2022,7,799
65,2022,8,520
65,2022,9,1011
65,2022,10,1679
65,2022,11,666
65,2022,12,400
66,2020,1,65
66,2020,2,81
66,2020,3,131
66,2020,4,43
66,2020,5,136
66,2020,6,87
66,2020,7,181
66,2020,8,65
66,2020,9,126
66,2020,10,491
66,2020,11,91
66,2020,12,98
66,2021,1,148
66,2021,2,41
66,2021,3,128
66,2021,4,294
66,2021,5,164
66,2021,6,321
66,2021,7,153
66,2021,8,133
66,2021,9,365
66,2021,10,533
66,2021,11,173
66,2021,12,152
66,2022,1,128
66,2022,2,253
66,2022,3,404
66,2022,4,175
66,2022,5,272
66,2022,6,326
66,2022,7,155
66,2022,8,273
66,2022,9,185
66,2022,10,713
66,2022,11,109
66,2022,12,175
67,2020,1,124
67,2020,2,73
67,2020,3,230
67,2020,4,173
67,2020,5,374
67,2020,6,275
67,2020,7,226
67,2020,8,184
67,2020,9,252
67,2020,10,563
67,2020,11,189
67,2020,12,227
67,2021,1,367
67,2021,2,112
67,2021,3,368
67,2021,4,479
67,2021,5,366
67,2021,6,741
67,2021,7,566
67,2021,8,491
67,2021,9,754
67,2021,10,1689
67,2021,11,415
67,2021,12,254
67,2022,1,53
67,2022,2,206
67,2022,3,452
67,2022,4,779
67,2022,5,560
67,2022,6,725
67,2022,7,864
67,2022,8,1158
67,2022,9,867
67,2022,10,2858
67,2022,11,297
67,2022,12,692
68,2020,1,483
68,2020,2,293
68,2020,3,305
68,2020,4,610
68,2020,5,106
68,2020,6,817
68,2020,7,579
68,2020,8,378
68,2020,9,287
68,2020,10,625
68,2020,11,292
68,2020,12,353
68,2021,1,359
68,2021,2,184
68,2021,3,651
68,2021,4,834
68,2021,5,550
68,2021,6,1048
68,2021,7,842
68,2021,8,445
68,2021,9,621
68,2021,10,1246
68,2021,11,340
68,2021,12,604
68,2022,1,712
68,2022,2,447
68,2022,3,638
68,2022,4,1461
68,2022,5,619
68,2022,6,913
68,2022,7,938
68,2022,8,713
68,2022,9,647
68,2022,10,1807
68,2022,11,330
68,2022,12,499
69,2020,1,24
69,2020,2,60
69,2020,3,162
69,2020,4,112
69,2020,5,79
69,2020,6,123
69,2020,7,100
69,2020,8,78
69,2020,9,65
69,2020,10,383
69,2020,11,42
69,2020,12,38
69,2021,1,150
69,2021,2,163
69,2021,3,170
69,2021,4,252
69,2021,5,145
69,2021,6,186
69,2021,7,176
69,2021,8,173
69,2021,9,127
69,2021,10,308
69,2021,11,113
69,2021,12,39
69,2022,1,32
69,2022,2,75
69,2022,3,29
69,2022,4,182
69,2022,5,168
69,2022,6,177
69,2022,7,25
69,2022,8,58
69,2022,9,53
69,2022,10,202
69,2022,11,47
69,2022,12,131
70,2020,1,35
70,2020,2,143
70,2020,3,227
70,2020,4,118
70,2020,5,135
70,2020,6,234
70,2020,7,204
70,2020,8,127
70,2020,9,252
70,2020,10,559
70,2020,11,45
70,2020,12,103
70,2021,1,106
70,2021,2,18
70,2021,3,193
70,2021,4,345
70,2021,5,93
70,2021,6,409
70,2021,7,270
70,2021,8,206
70,2021,9,227
70,2021,10,648
70,2021,11,248
70,2021,12,209
70,2022,1,134
70,2022,2,227
70,2022,3,483
70,2022,4,359
70,2022,5,389
70,2022,6,262
70,2022,7,551
70,2022,8,212
70,2022,9,350
70,2022,10,876
70,2022,11,130
70,2022,12,103
71,2020,1,79
71,2020,2,99
71,2020,3,131
71,2020,4,208
71,2020,5,128
71,2020,6,151
71,2020,7,243
71,2020,8,199
71,2020,9,79
71,2020,10,365
71,2020,11,107
71,2020,12,112
71,2021,1,163
71,2021,2,105
71,2021,3,174
71,2021,4,533
71,2021,5,215
71,2021,6,301
71,2021,7,253
71,2021,8,250
71,2021,9,424
71,2021,10,337
71,2021,11,96
71,2021,12,88
71,2022,1,167
71,2022,2,357
71,2022,3,336
71,2022,4,395
71,2022,5,101
71,2022,6,226
71,2022,7,340
71,2022,8,151
71,2022,9,510
71,2022,10,669
71,2022,11,166
71,2022,12,79
72,2020,1,141
72,2020,2,126
72,2020,3,209
72,2020,4,238
72,2020,5,167
72,2020,6,102
72,2020,7,79
72,2020,8,81
72,2020,9,107
72,2020,10,191
72,2020,11,157
72,2020,12,171
72,2021,1,154
72,2021,2,46
72,2021,3,292
72,2021,4,387
72,2021,5,429
72,2021,6,348
72,2021,7,265
72,2021,8,116
72,2021,9,206
72,2021,10,606
72,2021,11,88
72,2021,12,73
72,2022,1,123
72,2022,2,89
72,2022,3,249
72,2022,4,549
72,2022,5,209
72,2022,6,498
72,2022,7,225
72,2022,8,393
72,2022,9,339
72,2022,10,854
72,2022,11,221
72,2022,12,295
73,2020,1,46
73,2020,2,70
73,2020,3,278
73,2020,4,272
73,2020,5,94
73,2020,6,613
73,2020,7,370
73,2020,8,204
73,2020,9,498
73,2020,10,1026
73,2020,11,220
73,2020,12,297
73,2021,1,215
73,2021,2,203
73,2021,3,472
73,2021,4,591
73,2021,5,283
73,2021,6,356
73,2021,7,431
73,2021,8,439
73,2021,9,375
73,2021,10,1334
73,2021,11,333
73,2021,12,241
73,2022,1,454
73,2022,2,347
73,2022,3,171
73,2022,4,385
73,2022,5,547
73,2022,6,597
73,2022,7,413
73,2022,8,436
73,2022,9,399
73,2022,10,2265
73,2022,11,321
73,2022,12,217
74,2020,1,516
74,2020,2,446
74,2020,3,645
74,2020,4,1044
74,2020,5,654
74,2020,6,1011
74,2020,7,1046
74,2020,8,417
74,2020,9,739
74,2020,10,2368
74,2020,11,500
74,2020,12,452
74,2021,1,461
74,2021,2,313
74,2021,3,1073
74,2021,4,1982
74,2021,5,788
74,2021,6,965
74,2021,7,1695
74,2021,8,786
74,2021,9,953
74,2021,10,3454
74,2021,11,615
74,2021,12,291
74,2022,1,391
74,2022,2,918
74,2022,3,910
74,2022,4,1968
74,2022,5,1164
74,2022,6,1756
74,2022,7,1135
74,2022,8,1088
74,2022,9,1305
74,2022,10,4280
74,2022,11,625
74,2022,12,701
75,2020,1,267
75,2020,2,302
75,2020,3,358
75,2020,4,572
75,2020,5,297
75,2020,6,273
75,2020,7,482
75,2020,8,185
75,2020,9,197
75,2020,10,988
75,2020,11,389
75,2020,12,195
75,2021,1,212
75,2021,2,265
75,2021,3,578
75,2021,4,1392
75,2021,5,715
75,2021,6,632
75,2021,7,663
75,2021,8,758
75,2021,9,1131
75,2021,10,1897
75,2021,11,575
75,2021,12,202
75,2022,1,1032
75,2022,2,754
75,2022,3,1108
75,2022,4,1414
75,2022,5,651
75,2022,6,1887
75,2022,7,469
75,2022,8,897
75,2022,9,753
75,2022,10,3079
75,2022,11,584
75,2022,12,545
76,2020,1,397
76,2020,2,173
76,2020,3,367
76,2020,4,529
76,2020,5,444
76,2020,6,403
76,2020,7,875
76,2020,8,423
76,2020,9,555
76,2020,10,1751
76,2020,11,267
76,2020,12,482
76,2021,1,373
76,2021,2,115
76,2021,3,717
76,2021,4,1220
76,2021,5,396
76,2021,6,1048
76,2021,7,1199
76,2021,8,723
76,2021,9,1110
76,2021,10,2490
76,2021,11,464
76,2021,12,233
76,2022,1,379
76,2022,2,319
76,2022,3,680
76,2022,4,1434
76,2022,5,532
76,2022,6,1739
76,2022,7,795
76,2022,8,1008
76,2022,9,1223
76,2022,10,2924
76,2022,11,654
76,2022,12,345
77,2020,1,219
77,2020,2,381
77,2020,3,243
77,2020,4,954
77,2020,5,391
77,2020,6,912
77,2020,7,824
77,2020,8,315
77,2020,9,438
77,2020,10,1478
77,2020,11,217
77,2020,12,178
77,2021,1,497
77,2021,2,242
77,2021,3,337
77,2021,4,1160
77,2021,5,743
77,2021,6,542
77,2021,7,722
77,2021,8,333
77,2021,9,1019
77,2021,10,1598
77,2021,11,533
77,2021,12,558
77,2022,1,478
77,2022,2,310
77,2022,3,609
77,2022,4,1232
77,2022,5,761
77,2022,6,1118
77,2022,7,507
77,2022,8,1256
77,2022,9,767
77,2022,10,2191
77,2022,11,558
77,2022,12,957
78,2020,1,39
78,2020,2,29
78,2020,3,206
78,2020,4,209
78,2020,5,183
78,2020,6,260
78,2020,7,289
78,2020,8,167
78,2020,9,324
78,2020,10,668
78,2020,11,231
78,2020,12,191
78,2021,1,219
78,2021,2,221
78,2021,3,317
78,2021,4,352
78,2021,5,448
78,2021,6,547
78,2021,7,210
78,2021,8,181
78,2021,9,485
78,2021,10,980
78,2021,11,177
78,2021,12,118
78,2022,1,267
78,2022,2,202
78,2022,3,619
78,2022,4,708
78,2022,5,459
78,2022,6,303
78,2022,7,393
78,2022,8,560
78,2022,9,612
78,2022,10,2062
78,2022,11,389
78,2022,12,263
79,2020,1,35
79,2020,2,44
79,2020,3,195
79,2020,4,200
79,2020,5,102
79,2020,6,161
79,2020,7,202
79,2020,8,59
79,2020,9,92
79,2020,10,315
79,2020,11,38
79,2020,12,41
79,2021,1,137
79,2021,2,29
79,2021,3,211
79,2021,4,178
79,2021,5,127
79,2021,6,220
79,2021,7,238
79,2021,8,156
79,2021,9,245
79,2021,10,494
79,2021,11,155
79,2021,12,57
79,2022,1,199
79,2022,2,157
79,2022,3,322
79,2022,4,483
79,2022,5,348
79,2022,6,305
79,2022,7,257
79,2022,8,101
79,2022,9,130
79,2022,10,1041
79,2022,11,154
79,2022,12,62
80,2020,1,79
80,2020,2,160
80,2020,3,281
80,2020,4,247
80,2020,5,148
80,2020,6,223
80,2020,7,159
80,2020,8,66
80,2020,9,224
80,2020,10,441
80,2020,11,117
80,2020,12,156
80,2021,1,204
80,2021,2,40
80,2021,3,241
80,2021,4,466
80,2021,5,184
80,2021,6,351
80,2021,7,342
80,2021,8,264
80,2021,9,536
80,2021,10,804
80,2021,11,239
80,2021,12,622
80,2022,1,297
80,2022,2,290
80,2022,3,396
80,2022,4,807
80,2022,5,482
80,2022,6,723
80,2022,7,236
80,2022,8,533
80,2022,9,503
80,2022,10,1496
80,2022,11,286
80,2022,12,337
81,2020,1,187
81,2020,2,64
81,2020,3,44
81,2020,4,123
81,2020,5,158
81,2020,6,148
81,2020,7,104
81,2020,8,181
81,2020,9,165
81,2020,10,384
81,2020,11,64
81,2020,12,135
81,2021,1,93
81,2021,2,16
81,2021,3,248
81,2021,4,385
81,2021,5,53
81,2021,6,230
81,2021,7,382
81,2021,8,44
81,2021,9,243
81,2021,10,721
81,2021,11,182
81,2021,12,152
81,2022,1,186
81,2022,2,117
81,2022,3,303
81,2022,4,491
81,2022,5,281
81,2022,6,377
81,2022,7,296
81,2022,8,374
81,2022,9,215
81,2022,10,999
81,2022,11,317
81,2022,12,185
82,2020,1,43
82,2020,2,154
82,2020,3,676
82,2020,4,1027
82,2020,5,306
82,2020,6,584
82,2020,7,469
82,2020,8,70
82,2020,9,317
82,2020,10,729
82,2020,11,283
82,2020,12,225
82,2021,1,550
82,2021,2,184
82,2021,3,569
82,2021,4,1296
82,2021,5,386
82,2021,6,644
82,2021,7,641
82,2021,8,326
82,2021,9,455
82,2021,10,1538
82,2021,11,464
82,2021,12,311
82,2022,1,545
82,2022,2,92
82,2022,3,716
82,2022,4,1058
82,2022,5,505
82,2022,6,750
82,2022,7,473
82,2022,8,521
82,2022,9,725
82,2022,10,2539
82,2022,11,442
82,2022,12,467
83,2020,1,75
83,2020,2,229
83,2020,3,195
83,2020,4,210
83,2020,5,151
83,2020,6,208
83,2020,7,247
83,2020,8,137
83,2020,9,161
83,2020,10,735
83,2020,11,218
83,2020,12,152
83,2021,1,353
83,2021,2,147
83,2021,3,336
83,2021,4,719
83,2021,5,308
83,2021,6,508
83,2021,7,289
83,2021,8,274
83,2021,9,376
83,2021,10,1159
83,2021,11,219
83,2021,12,428
83,2022,1,207
83,2022,2,164
83,2022,3,495
83,2022,4,892
83,2022,5,371
83,2022,6,403
83,2022,7,433
83,2022,8,441
83,2022,9,333
83,2022,10,1851
83,2022,11,279
83,2022,12,316
84,2020,1,20
84,2020,2,177
84,2020,3,92
84,2020,4,224
84,2020,5,184
84,2020,6,149
84,2020,7,303
84,2020,8,127
84,2020,9,263
84,2020,10,453
84,2020,11,51
84,2020,12,198
84,2021,1,206
84,2021,2,74
84,2021,3,320
84,2021,4,395
84,2021,5,219
84,2021,6,592
84,2021,7,367
84,2021,8,162
84,2021,9,384
84,2021,10,859
84,2021,11,190
84,2021,12,104
84,2022,1,304
84,2022,2,88
84,2022,3,626
84,2022,4,500
84,2022,5,444
84,2022,6,360
84,2022,7,175
84,2022,8,337
84,2022,9,406
84,2022,10,1081
84,2022,11,175
84,2022,12,308
85,2020,1,90
85,2020,2,161
85,2020,3,56
85,2020,4,120
85,2020,5,91
85,2020,6,198
85,2020,7,143
85,2020,8,63
85,2020,9,178
85,2020,10,314
85,2020,11,232
85,2020,12,61
85,2021,1,271
85,2021,2,168
85,2021,3,347
85,2021,4,312
85,2021,5,226
85,2021,6,265
85,2021,7,249
85,2021,8,189
85,2021,9,298
85,2021,10,817
85,2021,11,126
85,2021,12,248
85,2022,1,147
85,2022,2,317
85,2022,3,497
85,2022,4,530
85,2022,5,166
85,2022,6,544
85,2022,7,215
85,2022,8,383
85,2022,9,212
85,2022,10,1755
85,2022,11,333
85,2022,12,158
86,2020,1,715
86,2020,2,1133
86,2020,3,2219
86,2020,4,2999
86,2020,5,1206
86,2020,6,3087
86,2020,7,2049
86,2020,8,1719
86,2020,9,920
86,2020,10,3157
86,2020,11,285
86,2020,12,758
86,2021,1,668
86,2021,2,459
86,2021,3,1134
86,2021,4,1199
86,2021,5,466
86,2021,6,2015
86,2021,7,1101
86,2021,8,1969
86,2021,9,1695
86,2021,10,3855
86,2021,11,394
86,2021,12,275
86,2022,1,522
86,2022,2,84
86,2022,3,1446
86,2022,4,1318
86,2022,5,1007
86,2022,6,1969
86,2022,7,974
86,2022,8,1043
86,2022,9,1774
86,2022,10,2052
86,2022,11,239
86,2022,12,797
87,2020,1,638
87,2020,2,1211
87,2020,3,4098
87,2020,4,3508
87,2020,5,3560
87,2020,6,3713
87,2020,7,4027
87,2020,8,2050
87,2020,9,1535
87,2020,10,821
87,2020,11,69
87,2020,12,239
87,2021,1,581
87,2021,2,329
87,2021,3,3066
87,2021,4,2605
87,2021,5,853
87,2021,6,1273
87,2021,7,1422
87,2021,8,995
87,2021,9,1352
87,2021,10,914
87,2021,11,338
87,2022,1,238
87,2022,2,207
87,2022,3,659
87,2022,4,1561
87,2022,5,939
87,2022,6,1139
87,2022,7,1505
87,2022,8,1242
87,2022,9,589
87,2022,10,603
87,2022,11,125
87,2022,12,429
88,2020,1,374
88,2020,2,547
88,2020,3,4707
88,2020,4,4068
88,2020,5,3376
88,2020,6,3040
88,2020,7,3538
88,2020,8,3028
88,2020,9,1457
88,2020,10,124
88,2020,11,330
88,2020,12,268
88,2021,1,729
88,2021,2,468
88,2021,3,2146
88,2021,4,4261
88,2021,5,790
88,2021,6,2227
88,2021,7,2981
88,2021,8,2658
88,2021,9,705
88,2021,10,1073
88,2021,11,263
88,2021,12,54
88,2022,1,410
88,2022,2,217
88,2022,3,1402
88,2022,4,2375
88,2022,5,1294
88,2022,6,2475
88,2022,7,1311
88,2022,8,1797
88,2022,9,783
88,2022,10,883
88,2022,11,314
88,2022,12,379
89,2020,1,457
89,2020,2,1217
89,2020,3,3488
89,2020,4,3512
89,2020,5,3810
89,2020,6,2532
89,2020,7,5409
89,2020,8,2624
89,2020,9,1246
89,2020,10,1232
89,2020,11,438
89,2020,12,63
89,2021,1,871
89,2021,2,297
89,2021,3,1855
89,2021,4,1913
89,2021,5,1551
89,2021,6,2124
89,2021,7,2505
89,2021,8,1675
89,2021,9,1177
89,2021,10,809
89,2021,11,200
89,2021,12,365
89,2022,1,795
89,2022,2,225
89,2022,3,1025
89,2022,4,1108
89,2022,5,1058
89,2022,6,891
89,2022,7,1181
89,2022,8,2191
89,2022,9,1057
89,2022,10,1074
89,2022,11,297
89,2022,12,319
90,2020,1,1070
90,2020,2,1954
90,2020,3,4167
90,2020,4,7933
90,2020,5,3742
90,2020,6,5358
90,2020,7,4926
90,2020,8,2457
90,2020,9,1565
90,2020,10,536
90,2020,11,615
90,2020,12,409
90,2021,1,1268
90,2021,2,703
90,2021,3,2136
90,2021,4,2626
90,2021,5,2002
90,2021,6,2888
90,2021,7,3213
90,2021,8,2116
90,2021,9,1658
90,2021,10,1470
90,2021,11,382
90,2021,12,421
90,2022,1,1490
90,2022,2,138
90,2022,3,1738
90,2022,4,2422
90,2022,5,992
90,2022,6,2188
90,2022,7,1735
90,2022,8,1730
90,2022,9,1106
90,2022,10,757
90,2022,11,175
90,2022,12,114
91,2020,1,191
91,2020,2,934
91,2020,3,1513
91,2020,4,2790
91,2020,5,1663
91,2020,6,1758
91,2020,7,2044
91,2020,8,1667
91,2020,9,513
91,2020,10,383
91,2020,11,90
91,2020,12,119
91,2021,1,340
91,2021,2,391
91,2021,3,1591
91,2021,4,1514
91,2021,5,1105
91,2021,6,1858
91,2021,7,1490
91,2021,8,1002
91,2021,9,660
91,2021,10,353
91,2021,11,179
91,2021,12,258
91,2022,1,172
91,2022,2,409
91,2022,3,947
91,2022,4,1036
91,2022,5,912
91,2022,6,1140
91,2022,7,1322
91,2022,8,954
91,2022,9,566
91,2022,10,794
91,2022,11,223
91,2022,12,113
92,2020,1,480
92,2020,2,372
92,2020,3,747
92,2020,4,791
92,2020,5,1091
92,2020,6,1338
92,2020,7,909
92,2020,8,426
92,2020,9,501
92,2020,10,20
92,2020,11,24
92,2020,12,203
92,2021,1,198
92,2021,2,161
92,2021,3,538
92,2021,4,707
92,2021,5,329
92,2021,6,437
92,2021,7,335
92,2021,8,469
92,2021,9,112
92,2021,10,69
92,2021,11,75
92,2021,12,120
92,2022,1,55
92,2022,2,138
92,2022,3,327
92,2022,4,346
92,2022,5,193
92,2022,6,358
92,2022,7,292
92,2022,8,279
92,2022,9,99
92,2022,10,322
92,2022,11,62
92,2022,12,60
93,2020,1,595
93,2020,2,636
93,2020,3,4360
93,2020,4,3306
